program,file,type,result,time_ms
minicsv,symcc-assertions-3.smt2,sat,sat,3150
minicsv,symcc-assertions-40.smt2,sat,timeout,60141
minicsv,symcc-assertions-41.smt2,sat,sat,13162
minicsv,symcc-assertions-42.smt2,sat,sat,14982
minicsv,symcc-assertions-43.smt2,sat,sat,28529
minicsv,symcc-assertions-44.smt2,sat,unsat,3854
minicsv,symcc-assertions-45.smt2,sat,unsat,2961
minicsv,symcc-assertions-46.smt2,sat,sat,8612
minicsv,symcc-assertions-47.smt2,sat,sat,10404
minicsv,symcc-assertions-48.smt2,sat,sat,13454
minicsv,symcc-assertions-49.smt2,sat,sat,12309
minicsv,symcc-assertions-4.smt2,sat,sat,4487
minicsv,symcc-assertions-5.smt2,sat,sat,5058
minicsv,symcc-assertions-6.smt2,sat,sat,22240
minicsv,symcc-assertions-7.smt2,sat,sat,26280
minicsv,symcc-assertions-8.smt2,sat,sat,24280
minicsv,symcc-assertions-9.smt2,sat,sat,24052
minicsv,symcc-unsat-0.smt2,unsat,sat,5073
minicsv,symcc-unsat-10.smt2,unsat,sat,5704
minicsv,symcc-unsat-11.smt2,unsat,sat,6231
minicsv,symcc-unsat-12.smt2,unsat,sat,5558
minicsv,symcc-unsat-13.smt2,unsat,sat,5675
minicsv,symcc-unsat-14.smt2,unsat,sat,6573
minicsv,symcc-unsat-15.smt2,unsat,sat,5988
minicsv,symcc-unsat-16.smt2,unsat,sat,6182
minicsv,symcc-unsat-17.smt2,unsat,sat,7637
minicsv,symcc-unsat-18.smt2,unsat,sat,7299
minicsv,symcc-unsat-19.smt2,unsat,sat,8101
minicsv,symcc-unsat-1.smt2,unsat,sat,3946
minicsv,symcc-unsat-20.smt2,unsat,sat,6414
minicsv,symcc-unsat-21.smt2,unsat,sat,7069
minicsv,symcc-unsat-22.smt2,unsat,sat,9594
minicsv,symcc-unsat-23.smt2,unsat,sat,8414
minicsv,symcc-unsat-24.smt2,unsat,sat,8224
minicsv,symcc-unsat-25.smt2,unsat,sat,5950
minicsv,symcc-unsat-26.smt2,unsat,sat,7062
minicsv,symcc-unsat-27.smt2,unsat,sat,7679
minicsv,symcc-unsat-28.smt2,unsat,sat,5552
minicsv,symcc-unsat-29.smt2,unsat,sat,6298
minicsv,symcc-unsat-2.smt2,unsat,sat,3509
